countyname,state,COST ,DEMC ,DEMO ,DEMP ,HCPP ,HMO ,PACE ,PFFS ,PPO ,PSO 
CHEATHAM ,TN,0,0,0,1,1,4,0,2,0,0
CHEBOYGAN ,MI,0,1,0,0,1,6,0,2,0,0
CHELAN ,WA,2,0,1,1,1,12,0,2,0,0
CHEMUNG ,NY,0,0,0,0,1,6,0,1,1,0
CHENANGO ,NY,0,0,1,1,1,6,0,1,1,0
CHEROKEE ,AL,0,0,0,0,1,3,0,2,0,0
CHEROKEE ,GA,0,0,1,0,3,18,0,1,3,0
CHEROKEE ,IA,0,0,0,0,1,0,0,3,0,0
CHEROKEE ,KS,1,0,0,0,1,2,0,0,0,0
CHEROKEE ,NC,0,0,0,0,1,11,0,2,1,0
CHEROKEE ,OK,0,0,0,0,0,6,0,1,0,0
CHEROKEE ,SC,0,0,0,0,2,3,0,3,0,0
CHEROKEE ,TX,1,0,0,0,2,3,0,2,0,0
CHERRY ,NE,0,0,0,0,0,0,0,1,0,0
CHESAPEAKE CITY ,VA,1,0,0,1,1,13,0,4,1,0
CHESHIRE ,NH,0,0,0,1,0,8,0,0,2,0
CHESTER ,PA,1,0,0,3,1,29,0,1,6,1
CHESTER ,SC,0,0,0,0,1,1,0,2,0,0
CHESTER ,TN,0,0,0,0,3,1,0,2,1,0
CHESTERFIELD ,SC,0,0,0,0,1,1,0,2,0,0
CHESTERFIELD ,VA,2,0,1,1,4,17,0,5,4,0
CHEYENNE ,CO,1,0,0,0,1,0,0,0,0,0
CHEYENNE ,KS,0,0,0,0,0,2,0,0,0,0
CHEYENNE ,NE,0,0,0,0,1,0,0,1,0,0
CHICKASAW ,IA,1,0,0,0,0,0,0,3,0,0
CHICKASAW ,MS,0,0,0,0,1,1,0,1,0,0
CHICOT ,AR,1,0,0,0,1,2,0,0,0,0
CHILDRESS ,TX,0,0,0,0,0,1,0,0,0,0
CHILTON ,AL,0,0,0,1,1,6,0,0,1,0
CHIPPEWA ,MI,0,0,0,0,1,3,0,1,0,0
CHIPPEWA ,MN,2,0,1,0,0,3,0,2,0,0
CHIPPEWA ,WI,0,0,1,0,0,4,0,2,0,0
CHISAGO ,MN,4,0,6,0,0,4,0,3,0,0
CHITTENDEN ,VT,0,0,0,1,1,13,0,1,0,0
CHOCTAW ,AL,0,0,0,0,1,3,0,1,0,0
CHOCTAW ,MS,0,0,0,0,0,2,0,1,0,0
CHOCTAW ,OK,0,0,0,0,2,1,0,1,0,0
CHOUTEAU ,MT,0,0,0,0,0,0,0,1,0,0
CHOWAN ,NC,1,0,0,0,1,1,0,3,0,0
CHRISTIAN ,IL,0,0,0,0,3,2,0,1,1,0
CHRISTIAN ,KY,1,0,0,0,3,9,0,2,0,0
CHRISTIAN ,MO,1,0,1,0,3,8,0,3,0,0
CHURCHILL ,NV,1,0,2,0,2,8,0,0,0,0
CIBOLA ,NM,0,0,0,1,2,3,0,2,1,0
CIMARRON ,OK,0,0,0,0,0,1,0,0,0,0
CITRUS ,FL,4,1,2,3,6,38,0,2,4,1
CLACKAMAS ,OR,3,0,3,1,2,29,1,4,7,0
CLAIBORNE ,LA,0,1,0,0,2,5,0,1,0,0
CLAIBORNE ,MS,0,0,0,0,1,2,0,0,0,0
CLAIBORNE ,TN,0,0,0,0,1,6,0,2,0,0
CLALLAM ,WA,1,0,0,0,2,13,1,3,2,0
CLARE ,MI,0,0,0,0,1,3,0,0,0,0
CLARENDON ,SC,0,1,0,1,3,4,0,3,2,0
CLARION ,PA,1,0,0,0,2,5,0,1,1,0
CLARK ,AR,1,1,0,0,2,2,0,2,0,0
CLARK ,IL,0,0,0,0,1,2,0,2,0,0
CLARK ,IN,1,0,0,0,2,11,0,1,3,0
CLARK ,KS,0,0,0,0,1,0,0,0,0,0
CLARK ,KY,0,0,0,0,1,1,0,3,1,0
CLARK ,MO,1,0,0,0,1,1,0,0,0,0
CLARK ,NV,11,2,4,7,10,79,1,4,12,3
CLARK ,OH,0,0,0,2,2,13,0,1,1,0
CLARK ,SD,0,0,0,0,0,1,0,1,0,0
CLARK ,WA,2,0,3,1,3,23,1,4,4,0
CLARK ,WI,0,0,0,0,0,2,0,2,0,0
CLARKE ,AL,0,0,0,0,1,6,0,0,0,0
CLARKE ,GA,0,0,0,0,2,8,0,4,2,0
CLARKE ,IA,1,0,0,0,0,1,0,4,0,0
CLARKE ,MS,0,0,0,0,1,3,0,0,0,0
CLARKE ,VA,1,0,0,0,0,0,0,1,0,0
CLATSOP ,OR,2,0,2,1,1,9,0,1,0,0
CLAY ,AL,0,0,0,0,0,4,0,0,0,0
CLAY ,AR,0,0,0,0,2,1,0,1,0,0
CLAY ,FL,0,1,0,0,4,27,1,1,3,0
CLAY ,GA,0,0,0,0,1,0,0,2,0,0
CLAY ,IA,1,0,0,0,1,1,0,3,0,0
CLAY ,IL,0,0,0,0,3,1,0,1,0,0
CLAY ,IN,1,0,0,0,1,0,0,1,0,0
CLAY ,KS,0,0,0,0,1,0,0,2,0,0
CLAY ,KY,0,0,0,0,1,1,0,2,0,0
CLAY ,MN,3,0,2,0,0,4,0,3,0,0
CLAY ,MO,1,1,0,1,4,13,0,1,2,0
CLAY ,MS,0,0,0,0,2,5,0,1,0,0
CLAY ,NC,0,0,0,0,1,2,0,1,0,0
CLAY ,NE,0,0,0,0,1,0,0,2,0,0
CLAY ,SD,0,0,0,0,1,1,0,2,0,0
CLAY ,TN,0,0,0,0,0,1,0,2,0,0
CLAY ,TX,0,0,0,0,0,1,0,0,0,0
CLAY ,WV,0,0,0,0,1,1,0,0,0,0
CLAYTON ,GA,0,0,2,0,2,23,0,2,1,0
CLAYTON ,IA,2,0,0,0,1,1,0,3,0,0
CLEAR CREEK ,CO,1,0,0,0,0,3,1,1,1,0
CLEARFIELD ,PA,0,0,0,0,1,8,0,1,1,0
CLEARWATER ,ID,1,0,0,0,1,3,0,1,1,0
CLEARWATER ,MN,3,0,0,0,0,2,0,2,0,0
CLEBURNE ,AL,0,0,0,0,0,3,0,0,0,0
CLEBURNE ,AR,0,0,0,0,3,2,0,1,0,0
CLERMONT ,OH,1,0,0,1,2,10,1,1,2,0
CLEVELAND ,AR,0,0,0,0,1,2,0,0,0,0
CLEVELAND ,NC,0,0,0,0,1,7,0,1,1,0
CLEVELAND ,OK,0,0,0,0,3,11,0,2,0,0
CLINCH ,GA,0,0,0,0,0,0,0,1,0,0
CLINTON ,IA,2,0,0,0,3,6,0,3,0,0
CLINTON ,IL,1,0,0,0,3,7,0,2,0,0
CLINTON ,IN,2,0,0,0,0,2,0,1,0,0
CLINTON ,KY,0,0,0,0,2,1,0,0,0,0
CLINTON ,MI,0,0,0,1,2,1,0,1,0,0
CLINTON ,MO,0,0,0,0,3,5,0,1,0,0
CLINTON ,NY,1,0,0,0,1,8,0,1,1,0
CLINTON ,OH,0,0,0,2,1,6,0,1,1,0
CLINTON ,PA,0,0,0,0,1,3,0,4,0,0
CLOUD ,KS,0,0,0,0,2,0,0,0,0,0
COAHOMA ,MS,0,0,0,0,1,5,0,0,0,0
COAL ,OK,0,0,1,0,1,1,0,0,0,0
COBB ,GA,1,1,2,2,5,36,0,1,6,0
COCHISE ,AZ,2,1,1,1,5,22,0,4,2,0
COCHRAN ,TX,0,0,0,0,1,0,0,0,0,0
COCKE ,TN,0,0,0,1,2,3,0,2,1,0
COCONINO ,AZ,1,1,0,0,4,20,0,3,1,0
CODINGTON ,SD,1,0,0,0,0,2,0,3,0,0
COFFEE ,AL,2,0,0,0,1,4,0,1,0,0
COFFEE ,GA,1,1,0,0,0,3,0,1,0,0
COFFEE ,TN,0,0,0,1,2,5,0,2,0,0
COFFEY ,KS,0,0,0,0,2,1,0,1,0,0
COKE ,TX,0,0,0,0,1,0,0,1,0,0
COLBERT ,AL,0,0,0,0,1,2,0,0,0,0
COLE ,MO,0,0,0,0,2,3,0,0,0,0
COLEMAN ,TX,0,1,1,0,2,0,0,1,0,0
COLES ,IL,0,0,0,0,4,3,0,3,1,0
COLFAX ,NE,0,0,0,0,1,0,0,1,0,0
COLFAX ,NM,0,0,1,0,2,4,0,2,3,0
COLLETON ,SC,0,0,0,0,1,1,0,4,1,0
COLLIER ,FL,7,1,1,5,5,63,0,5,6,2
COLLIN ,TX,6,1,3,0,6,28,0,4,2,1
COLONIAL HEIGHTS CIT ,VA,1,0,0,0,1,1,0,1,0,0
COLORADO ,TX,0,1,0,0,1,3,0,1,0,1
COLQUITT ,GA,0,1,1,0,1,3,0,1,1,0
COLUMBIA ,AR,0,0,1,0,0,2,0,0,0,0
COLUMBIA ,FL,1,1,1,1,3,12,0,2,1,0
COLUMBIA ,GA,1,0,0,0,4,13,0,3,1,0
COLUMBIA ,NY,0,0,0,2,0,12,0,3,2,0
COLUMBIA ,OR,2,0,1,1,1,13,1,3,1,0
COLUMBIA ,PA,0,0,0,0,0,7,0,3,0,0
COLUMBIA ,WA,0,0,0,1,1,2,0,1,0,0
COLUMBIA ,WI,4,0,1,0,1,2,0,3,1,0
COLUMBIANA ,OH,1,0,0,4,2,19,0,0,0,0
COLUMBUS ,NC,1,0,1,0,0,9,0,1,0,0
COLUSA ,CA,1,1,2,0,0,3,0,0,0,0
COMAL ,TX,1,1,1,0,3,7,0,2,1,1
COMANCHE ,KS,0,0,0,0,1,0,0,0,0,0
COMANCHE ,OK,0,1,0,0,2,8,0,1,0,1
COMANCHE ,TX,1,0,0,0,1,3,0,1,0,0
CONCHO ,TX,0,0,0,0,0,0,0,1,0,0
CONCORDIA ,LA,0,1,0,0,3,3,0,0,0,0
CONECUH ,AL,0,0,0,0,0,4,0,0,0,0
CONEJOS ,CO,2,0,0,0,1,3,0,0,0,0
CONTRA COSTA ,CA,7,1,3,2,6,45,3,4,3,1
CONVERSE ,WY,0,0,1,0,1,3,0,0,1,0
CONWAY ,AR,0,0,0,0,1,1,0,1,0,0
COOK ,GA,0,0,0,0,0,3,0,1,0,0
COOK ,IL,10,2,3,4,11,87,0,7,9,3
COOK ,MN,2,0,2,0,0,3,0,3,0,0
COOKE ,TX,1,0,1,0,1,4,0,2,0,0
COOPER ,MO,0,0,0,0,1,0,0,2,0,0
COOS ,NH,0,0,0,0,0,4,0,0,1,0
COOS ,OR,2,0,2,1,4,14,0,1,0,0
COOSA ,AL,0,0,0,0,0,3,0,0,1,0
COPIAH ,MS,1,0,0,0,1,3,0,1,0,0
CORTLAND ,NY,0,1,0,0,0,4,0,1,1,0
CORYELL ,TX,1,0,1,0,1,4,0,2,0,1
COSHOCTON ,OH,1,0,0,0,1,5,0,1,1,0
COSTILLA ,CO,2,0,0,1,0,1,0,1,1,0
COTTONWOOD ,MN,2,0,1,0,0,2,0,2,0,0
COVINGTON ,AL,0,0,0,0,0,7,0,1,0,0
COVINGTON ,MS,0,0,0,0,1,4,0,0,0,0
COVINGTON CITY ,VA,1,0,0,0,2,0,0,2,0,0
COWETA ,GA,3,0,1,0,1,10,0,3,1,0
COWLEY ,KS,0,0,0,0,2,4,0,1,2,0
COWLITZ ,WA,2,0,1,1,2,16,0,2,2,0
CRAIG ,OK,0,0,0,0,1,4,0,2,0,0
CRAIG ,VA,0,0,0,0,2,0,0,1,0,0
CRAIGHEAD ,AR,0,0,0,0,2,7,0,1,0,0
CRAVEN ,NC,1,0,0,0,1,16,1,2,0,0
CRAWFORD ,AR,0,0,0,0,4,6,0,3,0,1
CRAWFORD ,GA,0,0,0,0,0,0,0,1,0,0
CRAWFORD ,IA,0,0,0,0,0,2,0,3,0,0
CRAWFORD ,IL,0,0,0,0,2,0,0,2,0,0
CRAWFORD ,IN,0,0,0,0,1,0,0,0,0,0
CRAWFORD ,KS,1,0,0,0,2,2,1,1,1,0
CRAWFORD ,MI,0,0,0,0,0,5,0,1,0,0
CRAWFORD ,MO,0,0,0,1,4,6,0,1,0,0
CRAWFORD ,OH,0,0,0,0,2,2,0,0,1,0
CRAWFORD ,PA,2,0,0,1,2,8,0,1,2,0
CRAWFORD ,WI,2,0,2,0,0,3,0,3,0,0
CREEK ,OK,1,0,0,1,1,5,0,2,0,0
CRENSHAW ,AL,0,0,0,0,0,4,0,0,0,0
CRISP ,GA,0,0,0,0,0,5,0,3,0,0
CRITTENDEN ,AR,0,0,1,0,2,6,0,1,0,1
CRITTENDEN ,KY,1,0,0,0,2,0,0,1,0,0
CROCKETT ,TN,0,0,0,0,2,2,0,1,0,0
CROCKETT ,TX,0,0,0,0,0,0,0,1,0,0
CROOK ,OR,0,0,1,1,2,11,0,1,0,0
CROOK ,WY,0,0,0,0,1,1,0,0,0,0
CROSBY ,TX,0,0,0,0,1,2,0,0,0,0
CROSS ,AR,0,0,0,0,1,1,0,1,0,0
CROW WING ,MN,3,0,5,0,0,9,0,4,1,0
CROWLEY ,CO,1,0,0,0,0,2,0,0,0,0
CULBERSON ,TX,0,0,0,0,0,2,0,0,0,0
CULLMAN ,AL,0,0,0,0,2,8,0,1,0,0
CULPEPER ,VA,1,0,0,0,1,6,0,3,0,0
CUMBERLAND ,IL,0,0,0,0,1,1,0,2,1,0
CUMBERLAND ,KY,0,0,0,0,0,1,0,1,0,0
CUMBERLAND ,ME,1,0,1,2,2,13,1,2,2,0
CUMBERLAND ,NC,1,1,0,2,4,26,0,3,2,0
CUMBERLAND ,NJ,0,0,1,2,1,19,0,0,2,0
CUMBERLAND ,PA,0,0,0,1,2,19,0,3,3,0
CUMBERLAND ,TN,1,0,0,1,4,14,0,2,0,0
CUMBERLAND ,VA,0,0,0,1,1,0,0,3,0,0
CUMING ,NE,0,0,0,0,0,1,0,3,0,0
CURRITUCK ,NC,0,0,0,0,0,4,0,2,0,0
CURRY ,NM,0,0,1,0,3,3,0,1,1,0
CURRY ,OR,3,0,1,1,2,12,0,0,0,0
CUSTER ,CO,1,0,0,0,0,4,0,0,1,0
CUSTER ,ID,0,0,0,0,1,2,0,1,0,0
CUSTER ,MT,0,0,0,0,0,0,0,1,0,0
CUSTER ,NE,0,0,0,0,1,0,0,3,0,0
CUSTER ,OK,0,0,0,0,1,3,0,1,0,0
CUSTER ,SD,0,0,0,0,0,4,0,2,0,0
CUYAHOGA ,OH,4,0,3,4,2,53,2,2,7,0
DADE ,GA,0,0,0,0,0,4,0,2,0,0
DADE ,MO,0,0,0,0,0,4,0,2,0,0
DAGGETT ,UT,0,0,0,0,0,1,0,2,0,0
DAKOTA ,MN,3,0,7,1,0,16,0,4,1,0
DAKOTA ,NE,0,0,0,0,0,1,0,2,0,0
DALE ,AL,0,0,0,1,1,5,0,0,0,0
DALLAM ,TX,0,0,0,0,2,1,0,0,0,0
DALLAS ,AL,0,0,0,0,1,5,0,0,0,0
DALLAS ,IA,1,1,0,0,0,2,0,4,1,0
DALLAS ,MO,0,0,0,0,0,3,0,3,1,0
DALLAS ,TX,5,3,2,0,5,42,0,4,2,1
DANE ,WI,5,0,3,0,5,16,1,4,1,0
DANIELS ,MT,0,0,0,0,0,1,0,0,0,0
DANVILLE CITY ,VA,0,0,0,0,1,4,0,4,0,0
DARE ,NC,1,0,0,0,0,3,0,1,0,0
DARKE ,OH,0,0,0,1,2,4,0,1,1,0
DARLINGTON ,SC,0,0,0,0,0,5,0,2,1,0
DAUPHIN ,PA,0,0,1,2,3,21,0,4,5,0
DAVIDSON ,NC,1,0,1,1,1,6,0,3,1,0
DAVIDSON ,TN,1,1,2,1,4,30,0,3,4,0
DAVIE ,NC,0,0,0,1,1,4,0,3,0,0
DAVIESS ,IN,2,0,0,0,1,3,0,0,0,0
DAVIESS ,KY,1,0,0,0,4,2,1,2,0,0
DAVIESS ,MO,0,0,0,0,0,5,0,0,0,0
DAVIS ,IA,1,0,0,0,0,0,0,1,0,0
DAVIS ,UT,2,0,1,0,3,10,0,4,2,0
DAVISON ,SD,0,0,0,0,0,1,0,1,0,0
DAWES ,NE,0,0,0,0,1,2,0,1,0,0
DAWSON ,GA,0,0,0,0,0,2,0,2,1,0
DAWSON ,MT,0,0,0,0,0,1,0,2,0,0
DAWSON ,NE,0,0,0,0,1,3,0,2,0,0
DAWSON ,TX,0,0,0,0,1,1,0,0,0,0
DAY ,SD,1,0,0,0,0,2,0,3,0,0
DE BACA ,NM,0,0,0,0,2,1,0,0,1,0
DE KALB ,AL,0,0,0,0,4,6,0,1,1,0
DE KALB ,IN,0,0,0,0,3,1,0,4,0,0
DE SOTO ,FL,4,1,0,1,2,9,0,2,2,0
DE SOTO ,LA,0,1,0,0,1,4,0,1,0,1
DE WITT ,TX,1,1,0,0,0,1,0,1,0,1
DEAF SMITH ,TX,0,1,0,0,1,1,0,0,0,0
DEARBORN ,IN,0,0,0,1,3,4,0,2,1,0
DECATUR ,GA,1,0,0,0,1,2,0,2,0,0
DECATUR ,IA,1,0,0,0,0,2,0,2,0,0
DECATUR ,IN,1,0,0,1,1,2,0,2,0,0
DECATUR ,TN,0,0,0,0,2,2,0,2,0,0
DEER LODGE ,MT,0,0,0,0,1,2,0,1,0,0
DEFIANCE ,OH,0,0,0,1,2,2,0,1,1,0
DEKALB ,GA,3,1,3,1,5,39,1,3,4,2
DEKALB ,IL,1,0,0,1,5,4,0,3,1,0
DEKALB ,MO,0,0,0,0,1,2,0,0,0,0
DEKALB ,TN,0,0,0,1,3,2,0,2,0,0
DEL NORTE ,CA,2,1,0,1,1,7,0,1,0,0
DELAWARE ,IA,2,0,0,0,0,1,0,3,0,0
DELAWARE ,IN,1,0,0,0,3,5,0,1,0,0
DELAWARE ,NY,0,0,0,2,3,10,0,1,1,0
DELAWARE ,OH,1,0,0,1,1,6,0,1,1,0
DELAWARE ,OK,0,0,0,0,5,5,0,1,0,0
DELAWARE ,PA,0,1,1,2,4,25,0,2,3,0
DELTA ,CO,1,0,1,0,2,6,0,1,1,0
DELTA ,MI,0,0,0,0,3,2,0,2,0,0
DELTA ,TX,0,0,0,0,0,2,0,1,0,0
DENALI ,AK,0,0,0,0,1,0,0,0,0,0
DENT ,MO,0,0,0,1,2,1,0,0,0,0
DENTON ,TX,3,2,1,0,6,30,0,2,2,1
DENVER ,CO,5,1,1,1,4,32,1,1,4,1
DES MOINES ,IA,1,0,0,0,1,0,0,2,0,0
DESCHUTES ,OR,3,0,2,1,2,25,1,4,1,0
DESHA ,AR,0,0,0,0,2,6,0,0,1,0
DESOTO ,MS,0,0,1,1,3,12,0,2,0,0
DEUEL ,NE,0,0,0,0,1,0,0,1,0,0
DEUEL ,SD,0,0,0,0,0,0,0,2,0,0
DEWEY ,OK,0,0,0,0,0,1,0,0,0,0
DEWITT ,IL,0,1,0,1,2,1,0,0,1,0
DICKENSON ,VA,0,0,0,0,1,1,0,0,0,0
DICKEY ,ND,0,0,0,0,0,0,0,1,0,0
DICKINSON ,IA,1,0,0,0,4,2,0,3,0,0
DICKINSON ,KS,0,0,0,0,2,3,0,1,0,0
DICKINSON ,MI,0,0,0,0,0,4,0,3,0,0
DICKSON ,TN,0,0,0,1,1,5,0,2,0,0
DILLON ,SC,0,0,0,1,0,2,0,2,0,0
DIMMIT ,TX,0,0,0,0,0,0,0,1,0,0
DINWIDDIE ,VA,0,0,0,0,0,1,0,2,0,0
DIVIDE ,ND,0,0,0,0,0,1,0,0,0,0
DIXIE ,FL,0,0,0,0,2,6,0,1,0,0
DIXON ,NE,0,0,0,0,1,1,0,3,0,0
DODDRIDGE ,WV,0,0,0,0,1,1,0,0,0,0
DODGE ,GA,0,0,0,0,0,3,1,1,1,0
DODGE ,MN,2,0,2,0,0,3,0,2,0,0
DODGE ,NE,1,1,0,0,1,4,0,3,0,0
DODGE ,WI,2,0,0,0,2,2,0,3,1,0
DOLORES ,CO,1,0,0,0,0,1,0,0,0,0
DONA ANA ,NM,1,0,2,0,4,21,0,2,6,0
DONLEY ,TX,0,0,0,0,1,1,0,0,0,0
DOOLY ,GA,0,0,0,0,1,1,0,1,0,0
DOOR ,WI,0,0,0,0,0,3,0,2,0,0
DORCHESTER ,MD,1,0,0,1,0,0,0,0,0,0
DORCHESTER ,SC,0,1,0,1,1,13,0,4,0,0
DOUGHERTY ,GA,0,1,0,0,2,10,0,1,1,0
DOUGLAS ,CO,2,1,2,0,4,23,1,1,4,1
DOUGLAS ,GA,1,0,0,0,2,12,0,2,1,0
DOUGLAS ,IL,0,0,0,0,3,2,0,2,1,0
DOUGLAS ,KS,0,0,0,1,4,5,0,1,0,0
DOUGLAS ,MN,4,0,3,0,0,4,0,2,0,0
DOUGLAS ,MO,0,0,0,0,2,5,0,2,0,0
DOUGLAS ,NE,2,0,3,0,4,20,1,4,0,0
DOUGLAS ,NV,2,0,2,0,1,14,0,1,1,0
DOUGLAS ,OR,3,1,3,1,3,17,1,3,2,0
DOUGLAS ,SD,0,0,0,0,0,1,0,0,0,0
DOUGLAS ,WA,0,0,1,1,1,6,0,1,0,0
DOUGLAS ,WI,3,0,3,0,0,3,0,3,0,0
DREW ,AR,0,0,1,0,1,2,0,0,0,0
DUBOIS ,IN,1,0,0,0,2,0,0,2,0,0
DUBUQUE ,IA,3,0,1,0,1,5,0,2,0,0
DUCHESNE ,UT,0,0,0,0,3,2,0,3,1,0
DUKES ,MA,1,0,0,0,0,8,0,0,1,0
DUNDY ,NE,0,0,0,0,0,0,0,1,0,0
DUNKLIN ,MO,0,0,0,0,1,3,0,1,0,0
DUNN ,ND,0,0,0,0,0,0,0,1,0,0
DUNN ,WI,2,0,1,0,0,5,0,2,0,0
DUPAGE ,IL,5,0,3,2,7,36,0,4,4,0
DUPLIN ,NC,0,0,0,0,1,6,0,1,0,0
DURHAM ,NC,1,0,0,1,1,19,0,4,3,0
DUTCHESS ,NY,1,0,2,1,5,24,1,2,2,0
DUVAL ,FL,3,1,1,2,8,48,1,2,6,0
DUVAL ,TX,0,1,0,0,0,1,0,0,0,0
DYER ,TN,0,0,0,0,1,3,0,2,0,0
EAGLE ,CO,3,1,0,1,1,9,0,0,1,0
EARLY ,GA,0,1,0,0,0,1,0,2,1,0
EAST BATON ROUGE ,LA,2,1,0,1,2,11,1,3,2,0
EAST CARROLL ,LA,0,0,1,0,1,4,0,0,0,0
EAST FELICIANA ,LA,0,1,0,0,1,3,0,2,0,0
EASTLAND ,TX,0,0,0,0,2,4,0,1,0,1
EATON ,MI,0,0,0,0,2,6,0,2,0,0
EAU CLAIRE ,WI,1,0,1,0,2,4,0,2,0,0
ECTOR ,TX,1,1,0,0,2,1,0,3,0,1
EDDY ,ND,0,0,1,0,0,0,0,1,0,0
EDDY ,NM,0,0,0,0,2,9,0,1,2,0
EDGAR ,IL,0,0,1,1,3,3,0,2,1,0
EDGECOMBE ,NC,1,0,0,0,0,4,0,1,0,0
EDGEFIELD ,SC,0,0,0,0,0,3,0,2,0,1
EDMONSON ,KY,0,0,0,0,1,2,0,3,0,0
EDMUNDS ,SD,0,0,0,0,0,0,0,1,0,0
EDWARDS ,IL,1,0,0,0,1,0,0,2,0,0
EDWARDS ,KS,0,0,0,0,1,0,0,0,0,0
EFFINGHAM ,GA,0,0,0,1,0,3,0,2,1,0
EFFINGHAM ,IL,0,0,0,0,2,1,0,2,1,0
EL DORADO ,CA,3,1,2,1,4,23,1,1,0,0
EL PASO ,CO,7,1,1,1,7,37,1,2,3,0
EL PASO ,TX,1,1,1,0,5,33,1,2,3,2
ELBERT ,CO,1,0,0,0,2,4,0,1,2,0
ELBERT ,GA,0,0,0,0,1,2,0,3,0,0
ELK ,KS,0,0,0,0,1,0,0,0,0,0
ELK ,PA,0,0,0,0,1,3,0,2,1,0
ELKHART ,IN,1,0,1,1,2,8,0,3,1,1
ELKO ,NV,0,0,1,0,1,10,0,1,0,0
ELLIOTT ,KY,0,0,0,0,2,0,0,1,0,0
ELLIS ,KS,0,0,0,0,2,0,0,0,0,0
ELLIS ,OK,0,0,0,0,1,0,0,0,0,0
ELLIS ,TX,1,1,0,0,1,4,0,2,0,0
ELLSWORTH ,KS,0,0,0,0,1,1,0,0,0,0
ELMORE ,AL,1,0,1,0,1,7,0,2,2,0
ELMORE ,ID,1,0,0,0,1,5,0,1,0,0
EMANUEL ,GA,0,0,0,0,0,3,0,1,2,0
EMERY ,UT,1,0,0,0,2,0,1,4,0,0
EMMET ,IA,0,0,0,0,1,0,0,2,0,0
EMMET ,MI,0,0,0,0,2,3,0,3,1,0
EMMONS ,ND,0,0,0,0,0,0,0,1,0,0
ERATH ,TX,1,0,1,0,2,3,0,1,0,0
ERIE ,NY,2,0,1,2,4,42,1,3,7,0
ERIE ,OH,1,0,0,1,1,2,0,2,1,0
ERIE ,PA,0,1,1,2,3,21,0,5,1,0
ESCAMBIA ,AL,0,0,0,0,1,7,0,1,0,0
ESCAMBIA ,FL,3,1,2,2,3,29,0,2,3,0
ESMERALDA ,NV,0,0,1,0,0,2,0,0,0,0
ESSEX ,MA,0,1,2,2,3,33,3,1,5,1
ESSEX ,NJ,1,1,1,3,4,35,0,1,3,2
ESSEX ,NY,0,0,0,1,1,8,0,1,1,0
ESSEX ,VA,0,0,0,0,1,2,0,2,1,0
ESSEX ,VT,0,0,0,0,0,1,0,0,0,0
ESTILL ,KY,0,0,0,0,1,0,0,1,0,0
ETOWAH ,AL,1,0,0,1,2,8,0,0,1,0
EUREKA ,NV,0,0,2,0,0,1,0,1,0,0
EVANGELINE ,LA,0,1,0,0,1,4,0,2,0,0
EVANS ,GA,0,0,0,0,0,0,0,3,0,0
FAIRBANKS NORTH STAR ,AK,1,0,1,0,2,8,0,1,0,0
FAIRFAX ,VA,5,1,0,2,7,48,2,1,6,0
FAIRFAX CITY ,VA,1,0,0,0,1,4,0,0,0,0
FAIRFIELD ,CT,2,1,1,3,4,48,2,1,3,1
FAIRFIELD ,OH,1,0,0,1,2,12,0,1,1,0
FAIRFIELD ,SC,0,0,0,0,1,0,0,2,0,0
FALL RIVER ,SD,0,0,0,0,1,1,0,2,0,0
FALLS ,TX,1,0,0,0,0,1,0,1,0,0
FALLS CHURCH CITY ,VA,1,0,0,0,0,1,0,0,0,0
FANNIN ,GA,0,0,0,0,0,4,0,2,0,0
FANNIN ,TX,0,0,0,0,1,6,0,1,0,0
FARIBAULT ,MN,3,0,2,0,0,2,0,2,0,0
FAULK ,SD,0,0,0,0,0,0,0,1,0,0
FAULKNER ,AR,0,0,0,0,4,7,0,1,0,1
FAUQUIER ,VA,1,0,0,0,1,5,0,1,0,0
FAYETTE ,AL,0,0,1,0,1,1,0,0,0,0
FAYETTE ,GA,0,0,1,0,2,13,0,1,3,0
FAYETTE ,IA,2,0,0,0,1,1,0,4,0,0
FAYETTE ,IL,0,0,1,0,4,2,0,0,0,0
FAYETTE ,IN,0,0,0,0,0,3,0,3,0,0
FAYETTE ,KY,1,0,0,1,4,12,0,4,2,0
FAYETTE ,OH,0,0,0,0,0,2,0,1,0,0
FAYETTE ,PA,1,0,1,2,1,11,0,0,1,0
FAYETTE ,TN,0,0,0,0,2,2,0,2,0,0
FAYETTE ,TX,1,0,0,0,1,3,0,1,0,1
FAYETTE ,WV,1,0,0,0,2,5,0,0,1,0
FENTRESS ,TN,0,0,0,0,1,3,0,2,0,0
FERGUS ,MT,0,0,0,0,1,1,0,1,0,0
FERRY ,WA,0,0,0,0,0,3,0,1,0,0
FILLMORE ,MN,3,0,2,0,0,2,0,2,1,0
FILLMORE ,NE,0,0,0,0,0,0,0,2,0,0
FINNEY ,KS,0,0,0,0,0,1,0,1,0,0
FISHER ,TX,1,0,0,0,1,1,0,1,0,0
FLAGLER ,FL,1,0,1,1,4,22,0,3,2,0
FLATHEAD ,MT,0,0,2,0,2,9,0,3,1,0
FLEMING ,KY,0,0,0,0,1,2,0,2,0,0
FLORENCE ,SC,0,1,0,1,2,8,0,4,2,1
FLORENCE ,WI,0,0,0,0,0,1,0,3,0,0
FLOYD ,GA,0,0,0,0,1,2,0,1,1,0
FLOYD ,IA,1,0,0,0,0,0,0,3,0,0
